,title,year,advisory,movie_length,genre,rating,description,metascore
209,Ford v Ferrari,2019,PG-13,2h 32m,ActionBiographyDrama,8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2... Read allAmerican car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,81
210,Rocky,1976,PG,2h,DramaSport,8.1,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,70
211,Platoon,1986,R,2h,DramaWar,8.1,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th... Read allChris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",92
212,Everything Everywhere All at Once,2022,R,2h 19m,ActionAdventureComedy,8.1,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.",81
213,Pather Panchali,1955,Not Rated,2h 5m,Drama,8.3,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",81
214,Stand by Me,1986,R,1h 29m,AdventureDrama,8.1,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",75
215,The Terminator,1984,R,1h 47m,ActionSci-Fi,8.1,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so... Read allA human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",84
216,Spotlight,2015,R,2h 9m,BiographyCrimeDrama,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",93
217,Rush,2013,R,2h 3m,ActionBiographyDrama,8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,74
218,Logan,2017,R,2h 17m,ActionDramaSci-Fi,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s... Read allIn a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",77
219,Ratatouille,2007,G,1h 51m,AnimationAdventureComedy,8.1,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,96
220,Network,1976,R,2h 1m,Drama,8.1,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",83
221,Into the Wild,2007,R,2h 28m,AdventureBiographyDrama,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ... Read allAfter graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters th... Read allAfter graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",73
222,The Wizard of Oz,1939,G,1h 42m,AdventureFamilyFantasy,8.1,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu... Read allYoung Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",92
223,Before Sunset,2004,R,1h 20m,DramaRomance,8.1,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",90
224,Groundhog Day,1993,PG,1h 41m,ComedyDramaFantasy,8.1,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",72
225,The Exorcist,1973,R,2h 2m,Horror,8.1,"When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.When a teenage girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",81
226,The Best Years of Our Lives,1946,Approved,2h 50m,DramaRomanceWar,8.1,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",93
227,To Be or Not to Be,1942,Passed,1h 39m,ComedyRomanceWar,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",86
228,The Incredibles,2004,PG,1h 55m,AnimationActionAdventure,8.0,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",90
229,The Battle of Algiers,1966,Not Rated,2h 1m,DramaWar,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",96
230,Jai Bhim,2021,TV-MA,2h 44m,CrimeDramaMystery,8.9,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",96
231,Hachi: A Dog's Tale,2009,G,1h 33m,BiographyDramaFamily,8.1,A college professor bonds with an abandoned dog he takes into his home.A college professor bonds with an abandoned dog he takes into his home.A college professor bonds with an abandoned dog he takes into his home.,96
232,The Grapes of Wrath,1940,Passed,2h 9m,Drama,8.1,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great... Read allAn Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",96
233,Rebecca,1940,Approved,2h 10m,DramaFilm-NoirMystery,8.1,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,86
234,My Father and My Son,2005,Not Rated,1h 52m,DramaFamily,8.2,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,86
235,Amores perros,2000,R,2h 34m,DramaThriller,8.1,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",83
236,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,ActionAdventureFantasy,8.1,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",63
237,La Haine,1995,Not Rated,1h 38m,CrimeDrama,8.1,24 hours in the lives of three young men in the French suburbs the day after a violent riot.24 hours in the lives of three young men in the French suburbs the day after a violent riot.24 hours in the lives of three young men in the French suburbs the day after a violent riot.,63
238,Cool Hand Luke,1967,GP,2h 7m,CrimeDrama,8.1,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",92
239,The 400 Blows,1959,Not Rated,1h 39m,CrimeDrama,8.1,"A young boy, left without attention, delves into a life of petty crime.A young boy, left without attention, delves into a life of petty crime.A young boy, left without attention, delves into a life of petty crime.",92
240,Persona,1966,Not Rated,1h 23m,DramaThriller,8.1,A nurse is put in charge of a mute actress and finds that their personae are melding together.A nurse is put in charge of a mute actress and finds that their personae are melding together.A nurse is put in charge of a mute actress and finds that their personae are melding together.,86
241,It Happened One Night,1934,Passed,1h 45m,ComedyRomance,8.1,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin... Read allA renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",87
242,The Handmaiden,2016,Not Rated,2h 25m,DramaRomanceThriller,8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",84
243,Life of Brian,1979,R,1h 34m,Comedy,8.0,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",77
244,The Sound of Music,1965,G,2h 52m,BiographyDramaFamily,8.1,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,63
245,Dersu Uzala,1975,G,2h 22m,AdventureBiographyDrama,8.2,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,63
246,The Help,2011,PG-13,2h 26m,Drama,8.1,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th... Read allAn aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",62
247,Gandhi,1982,PG,3h 11m,BiographyDrama,8.1,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,79
248,Aladdin,1992,G,1h 30m,AnimationAdventureComedy,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,86
249,The Iron Giant,1999,PG,1h 26m,AnimationActionAdventure,8.1,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,85
